"id","name","amount","amount_type","type_tax_use","tax_group_id","price_include","include_base_amount","sequence","description","country_id","code_dgii"
"l10n_sv_cta.tax_iva_13_venta","IVA 13%","13.0","percent","sale","tax_group_iva_13","False","False","1","IVA 13%","base.sv","20"
"l10n_sv_cta.tax_iva_13_compra","IVA 13%","13.0","percent","purchase","tax_group_iva_13","False","False","1","IVA 13%","base.sv","20"
"l10n_sv_cta.tax_iva_13_venta_incluido","IVA 13% (Incluido en Precio)","13.0","percent","sale","tax_group_iva_13","True","False","2","IVA 13% Incluido","base.sv","20"
"l10n_sv_cta.tax_iva_13_compra_incluido","IVA 13% (Incluido en Precio)","13.0","percent","purchase","tax_group_iva_13","True","False","2","IVA 13% Incluido","base.sv","20"
"l10n_sv_cta.tax_exento_venta","Exento","0.0","percent","sale","tax_group_exc","False","False","3","Exento","base.sv",""
"l10n_sv_cta.tax_exento_compra","Exento","0.0","percent","purchase","tax_group_exc","False","False","3","Exento","base.sv",""
"l10n_sv_cta.tax_no_sujeto_venta","No Sujeto","0.0","percent","sale","tax_group_no_suj","False","False","4","No Sujeto","base.sv",""
"l10n_sv_cta.tax_no_sujeto_compra","No Sujeto","0.0","percent","purchase","tax_group_no_suj","False","False","4","No Sujeto","base.sv",""
"l10n_sv_cta.tax_exportacion","Exportación","0.0","percent","sale","tax_group_exp","False","False","5","Exportación","base.sv","C3"
"l10n_sv_cta.tax_fovial_venta","FOVIAL","0.20","fixed","sale","tax_group_fovial","False","False","6","FOVIAL","base.sv","D1"
"l10n_sv_cta.tax_fovial_compra","FOVIAL","0.20","fixed","purchase","tax_group_fovial","False","False","6","FOVIAL","base.sv","D1"
"l10n_sv_cta.tax_cotrans_venta","COTRANS","0.10","fixed","sale","tax_group_cotrans","False","False","7","COTRANS","base.sv","C8"
"l10n_sv_cta.tax_cotrans_compra","COTRANS","0.10","fixed","purchase","tax_group_cotrans","False","False","7","COTRANS","base.sv","C8"
"l10n_sv_cta.tax_turismo_5_venta","Turismo 5%","5.0","percent","sale","tax_group_turismo_5","False","False","8","Turismo 5%","base.sv","59"
"l10n_sv_cta.tax_turismo_5_compra","Turismo 5%","5.0","percent","purchase","tax_group_turismo_5","False","False","8","Turismo 5%","base.sv","59"
"l10n_sv_cta.tax_retencion_renta_10","Retención de Renta 10%","-10.0","percent","purchase","tax_group_retencion_renta","False","False","9","Retención de Renta 10%","base.sv",""
"l10n_sv_cta.tax_retencion_iva_1","Retención IVA 1%","-1.0","percent","purchase","tax_group_retencion_iva","False","False","10","Retención IVA 1%","base.sv","22"
"l10n_sv_cta.tax_retencion_iva_13","Retención IVA 13%","-13.0","percent","purchase","tax_group_retencion_iva","False","False","11","Retención IVA 13%","base.sv","C4"
"l10n_sv_cta.tax_retencion_iva_especial","Otras retenciones IVA casos especiales","-13.0","percent","purchase","tax_group_retencion_iva","False","False","12","Otras retenciones IVA casos especiales","base.sv","C9"